file_id,file_name,local_file_name,local_path,size_bytes_local,modified_time_local,exif_datetime,width,height,drive_folder_id,drive_modifiedTime,drive_size,drive_mimeType
1XBjmt0abfBTiwKTayAVEziPvbcDmHmIJ,IMG_0025.JPG,1XBjmt0abfBTiwKTayAVEziPvbcDmHmIJ__IMG_0025.JPG,data/staging/1XBjmt0abfBTiwKTayAVEziPvbcDmHmIJ__IMG_0025.JPG,572650,2026-01-17T00:10:32.842162,2025:10:10 03:47:22,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-10T11:47:22.000Z,572650,image/jpeg
1vXGHHgO8lFZmx3PRhZoFHrvUvSehwLzx,IMG_0026.JPG,1vXGHHgO8lFZmx3PRhZoFHrvUvSehwLzx__IMG_0026.JPG,data/staging/1vXGHHgO8lFZmx3PRhZoFHrvUvSehwLzx__IMG_0026.JPG,318516,2026-01-17T00:10:31.538922,2025:10:10 03:47:24,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-10T11:47:24.000Z,318516,image/jpeg
1hCbTFwyscR_zVFssOlTqbrsX5RVi9Q9J,IMG_0027.JPG,1hCbTFwyscR_zVFssOlTqbrsX5RVi9Q9J__IMG_0027.JPG,data/staging/1hCbTFwyscR_zVFssOlTqbrsX5RVi9Q9J__IMG_0027.JPG,623757,2026-01-17T00:10:30.643514,2025:10:10 03:47:26,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-10T11:47:26.000Z,623757,image/jpeg
105PHMBXY8dnVCV9XskO5wZjq7tKIuxBa,IMG_0028.JPG,105PHMBXY8dnVCV9XskO5wZjq7tKIuxBa__IMG_0028.JPG,data/staging/105PHMBXY8dnVCV9XskO5wZjq7tKIuxBa__IMG_0028.JPG,1679466,2026-01-17T00:10:29.188960,2025:10:12 10:09:07,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-12T18:09:06.000Z,1679466,image/jpeg
19U3fRokla0gmmbMiIJa8_hIzXsKzct3x,IMG_0029.JPG,19U3fRokla0gmmbMiIJa8_hIzXsKzct3x__IMG_0029.JPG,data/staging/19U3fRokla0gmmbMiIJa8_hIzXsKzct3x__IMG_0029.JPG,1830575,2026-01-17T00:10:26.275631,2025:10:12 10:09:09,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-12T18:09:08.000Z,1830575,image/jpeg
19Sy21FZOdAChmFy58sOSktZ7hPdHDXYX,IMG_0030.JPG,19Sy21FZOdAChmFy58sOSktZ7hPdHDXYX__IMG_0030.JPG,data/staging/19Sy21FZOdAChmFy58sOSktZ7hPdHDXYX__IMG_0030.JPG,1903894,2026-01-17T00:10:25.507055,2025:10:12 10:09:11,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-12T18:09:10.000Z,1903894,image/jpeg
13pdLfETd_DMaRMrk-YDrE8pIMY-mjefZ,IMG_0031.JPG,13pdLfETd_DMaRMrk-YDrE8pIMY-mjefZ__IMG_0031.JPG,data/staging/13pdLfETd_DMaRMrk-YDrE8pIMY-mjefZ__IMG_0031.JPG,2583242,2026-01-17T00:10:24.542476,2025:10:12 16:04:22,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-13T00:04:22.000Z,2583242,image/jpeg
1V8ECtUTa5dm_I0ea8I-Ove3s8gHC2ASQ,IMG_0032.JPG,1V8ECtUTa5dm_I0ea8I-Ove3s8gHC2ASQ__IMG_0032.JPG,data/staging/1V8ECtUTa5dm_I0ea8I-Ove3s8gHC2ASQ__IMG_0032.JPG,2569816,2026-01-17T00:10:22.050510,2025:10:12 16:04:25,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-13T00:04:24.000Z,2569816,image/jpeg
1swVbYF60XdIoojZSrc1BqVqo2jdHyWOf,IMG_0033.JPG,1swVbYF60XdIoojZSrc1BqVqo2jdHyWOf__IMG_0033.JPG,data/staging/1swVbYF60XdIoojZSrc1BqVqo2jdHyWOf__IMG_0033.JPG,2479192,2026-01-17T00:10:19.641459,2025:10:12 16:04:27,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-13T00:04:26.000Z,2479192,image/jpeg
1148VG333qxXwp2wq1LJcl4-RTLXB-SS9,IMG_0034.JPG,1148VG333qxXwp2wq1LJcl4-RTLXB-SS9__IMG_0034.JPG,data/staging/1148VG333qxXwp2wq1LJcl4-RTLXB-SS9__IMG_0034.JPG,525397,2026-01-17T00:10:16.608357,2025:10:12 20:41:46,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-13T04:41:46.000Z,525397,image/jpeg
